country_name,date,parameter,product,value,unit
Malta,6/1/2021,Net Electricity Production,Other Combustible Non-Renewables,0,GWh
Malta,6/1/2021,Net Electricity Production,Hydro,0,GWh
Malta,6/1/2021,Net Electricity Production,Wind,0,GWh
Malta,6/1/2021,Net Electricity Production,Solar,31.0929,GWh
Malta,6/1/2021,Net Electricity Production,Geothermal,0,GWh
Malta,6/1/2021,Net Electricity Production,Other Renewables,0,GWh
Malta,6/1/2021,Net Electricity Production,Not Specified,0,GWh
Malta,6/1/2021,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",31.0929,GWh
North Macedonia,6/1/2021,Net Electricity Production,Electricity,331.9674,GWh
North Macedonia,6/1/2021,Net Electricity Production,Nuclear,0,GWh
North Macedonia,6/1/2021,Net Electricity Production,Total Combustible Fuels,209.457,GWh
North Macedonia,6/1/2021,Net Electricity Production,"Coal, Peat and Manufactured Gases",135.7731,GWh
North Macedonia,6/1/2021,Net Electricity Production,Oil and Petroleum Products,6.3195,GWh
North Macedonia,6/1/2021,Net Electricity Production,Natural Gas,63.2682,GWh
North Macedonia,6/1/2021,Net Electricity Production,Combustible Renewables,4.0962,GWh
North Macedonia,6/1/2021,Net Electricity Production,Other Combustible Non-Renewables,0,GWh
North Macedonia,6/1/2021,Net Electricity Production,Hydro,110.6401,GWh
North Macedonia,6/1/2021,Net Electricity Production,Wind,9.0896,GWh
North Macedonia,6/1/2021,Net Electricity Production,Solar,2.7808,GWh
North Macedonia,6/1/2021,Net Electricity Production,Geothermal,0,GWh
North Macedonia,6/1/2021,Net Electricity Production,Other Renewables,0,GWh
North Macedonia,6/1/2021,Net Electricity Production,Not Specified,0,GWh
North Macedonia,6/1/2021,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",126.6066,GWh
Peru,6/1/2021,Net Electricity Production,Electricity,4522.0752,GWh
Peru,6/1/2021,Net Electricity Production,Total Combustible Fuels,2108.5938,GWh
Peru,6/1/2021,Net Electricity Production,"Coal, Peat and Manufactured Gases",13.5634,GWh
Peru,6/1/2021,Net Electricity Production,Oil and Petroleum Products,32.4886,GWh
Peru,6/1/2021,Net Electricity Production,Natural Gas,2009.4678,GWh
Peru,6/1/2021,Net Electricity Production,Combustible Renewables,53.074,GWh
Peru,6/1/2021,Net Electricity Production,Hydro,2225.5091,GWh
Peru,6/1/2021,Net Electricity Production,Wind,134.2728,GWh
Peru,6/1/2021,Net Electricity Production,Solar,53.6995,GWh
Peru,6/1/2021,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",2466.5554,GWh
Serbia,6/1/2021,Net Electricity Production,Electricity,2453.0609,GWh
Serbia,6/1/2021,Net Electricity Production,Nuclear,0,GWh
Serbia,6/1/2021,Net Electricity Production,Total Combustible Fuels,1422.9767,GWh
Serbia,6/1/2021,Net Electricity Production,"Coal, Peat and Manufactured Gases",1344.3755,GWh
Serbia,6/1/2021,Net Electricity Production,Oil and Petroleum Products,0.6381,GWh
